source_id,source_path,source_sha,line,mac_command_id,classification,milestone,status,evidence
CompressIntoArchive,src/Files.App/Actions/Content/Archives/Compress/CompressIntoArchiveAction.cs,99951c66928c4da714da8b1dd46039421182cbab,10,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Archives/Compress/CompressIntoArchiveAction.cs#L10
CompressIntoSevenZip,src/Files.App/Actions/Content/Archives/Compress/CompressIntoSevenZipAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Archives/Compress/CompressIntoSevenZipAction.cs#L6
CompressIntoZip,src/Files.App/Actions/Content/Archives/Compress/CompressIntoZipAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Archives/Compress/CompressIntoZipAction.cs#L6
DecompressArchive,src/Files.App/Actions/Content/Archives/Decompress/DecompressArchive.cs,99951c66928c4da714da8b1dd46039421182cbab,14,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Archives/Decompress/DecompressArchive.cs#L14
DecompressArchiveHere,src/Files.App/Actions/Content/Archives/Decompress/DecompressArchiveHere.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Archives/Decompress/DecompressArchiveHere.cs#L6
DecompressArchiveHereSmart,src/Files.App/Actions/Content/Archives/Decompress/DecompressArchiveHereSmart.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Archives/Decompress/DecompressArchiveHereSmart.cs#L6
DecompressArchiveToChildFolder,src/Files.App/Actions/Content/Archives/Decompress/DecompressArchiveToChildFolderAction.cs,99951c66928c4da714da8b1dd46039421182cbab,12,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Archives/Decompress/DecompressArchiveToChildFolderAction.cs#L12
SetAsAppBackground,src/Files.App/Actions/Content/Background/SetAsAppBackgroundAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Background/SetAsAppBackgroundAction.cs#L6
SetAsLockscreenBackground,src/Files.App/Actions/Content/Background/SetAsLockscreenBackgroundAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Background/SetAsLockscreenBackgroundAction.cs#L6
SetAsSlideshowBackground,src/Files.App/Actions/Content/Background/SetAsSlideshowBackgroundAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Background/SetAsSlideshowBackgroundAction.cs#L6
