source_id,inventory_level,source_path,source_sha,classification,status,evidence
HomePage,view-source,src/Files.App/Views/HomePage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/HomePage.xaml
ColumnLayoutPage,view-source,src/Files.App/Views/Layouts/ColumnLayoutPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Layouts/ColumnLayoutPage.xaml
ColumnsLayoutPage,view-source,src/Files.App/Views/Layouts/ColumnsLayoutPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Layouts/ColumnsLayoutPage.xaml
DetailsLayoutPage,view-source,src/Files.App/Views/Layouts/DetailsLayoutPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Layouts/DetailsLayoutPage.xaml
GridLayoutPage,view-source,src/Files.App/Views/Layouts/GridLayoutPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Layouts/GridLayoutPage.xaml
MainPage,view-source,src/Files.App/Views/MainPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/MainPage.xaml
CompatibilityPage,view-source,src/Files.App/Views/Properties/CompatibilityPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Properties/CompatibilityPage.xaml
CustomizationPage,view-source,src/Files.App/Views/Properties/CustomizationPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Properties/CustomizationPage.xaml
DetailsPage,view-source,src/Files.App/Views/Properties/DetailsPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Properties/DetailsPage.xaml
GeneralPage,view-source,src/Files.App/Views/Properties/GeneralPage.xaml,99951c66928c4da714da8b1dd46039421182cbab,V,awaiting-individual-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Views/Properties/GeneralPage.xaml
