source_key,type,default_expression,source_path,source_sha,line,classification,status,evidence
ShowStatusCenterTeachingTip,bool,true,src/Files.App/Services/Settings/AppSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,14,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppSettingsService.cs#L14
ShowBackgroundRunningNotification,bool,true,src/Files.App/Services/Settings/AppSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,20,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppSettingsService.cs#L20
RestoreTabsOnStartup,bool,false,src/Files.App/Services/Settings/AppSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,26,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppSettingsService.cs#L26
SidebarWidth,double,"Math.Min(Math.Max(Get(255d), Constants.UI.MinimumSidebarWidth), 500d)",src/Files.App/Services/Settings/AppearanceSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,17,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppearanceSettingsService.cs#L17
IsSidebarOpen,bool,true,src/Files.App/Services/Settings/AppearanceSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,23,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppearanceSettingsService.cs#L23
AppThemeMode,string,"""Default""",src/Files.App/Services/Settings/AppearanceSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,30,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppearanceSettingsService.cs#L30
AppThemeBackgroundColor,String,"""#00000000""",src/Files.App/Services/Settings/AppearanceSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,37,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppearanceSettingsService.cs#L37
AppThemeAddressBarBackgroundColor,String,"""""",src/Files.App/Services/Settings/AppearanceSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,44,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppearanceSettingsService.cs#L44
AppThemeToolbarBackgroundColor,String,"""""",src/Files.App/Services/Settings/AppearanceSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,51,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppearanceSettingsService.cs#L51
AppThemeSidebarBackgroundColor,String,"""""",src/Files.App/Services/Settings/AppearanceSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,58,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppearanceSettingsService.cs#L58
AppThemeFileAreaBackgroundColor,String,"""""",src/Files.App/Services/Settings/AppearanceSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,65,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppearanceSettingsService.cs#L65
AppThemeFileAreaSecondaryBackgroundColor,String,"""""",src/Files.App/Services/Settings/AppearanceSettingsService.cs,99951c66928c4da714da8b1dd46039421182cbab,72,V,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Services/Settings/AppearanceSettingsService.cs#L72
